"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 24 09:50:59 UTC 2026","Tue Mar 24 09:51:01 UTC 2026","2556","","tests.CartTest","","tests.CartTest","testRemoveItemFromCart","testRemoveItemFromCart()","Verify removing an item from the cart removes it completely"
"passed","Tue Mar 24 09:50:53 UTC 2026","Tue Mar 24 09:50:54 UTC 2026","1181","","tests.LoginTest","","tests.LoginTest","testInvalidLoginScenarios","testInvalidLoginScenarios(String, String, String) [3] standard_user, , Password is required","Verify various invalid login scenarios show correct error messages"
"passed","Tue Mar 24 09:50:52 UTC 2026","Tue Mar 24 09:50:53 UTC 2026","1346","","tests.LoginTest","","tests.LoginTest","testInvalidLoginScenarios","testInvalidLoginScenarios(String, String, String) [2] locked_out_user, secret_sauce, Sorry, this user has been locked out.","Verify various invalid login scenarios show correct error messages"
"passed","Tue Mar 24 09:50:41 UTC 2026","Tue Mar 24 09:50:43 UTC 2026","1605","","tests.InventoryTest","","tests.InventoryTest","testSortZToA","testSortZToA()","Verify sorting by Z to A does not crash"
"passed","Tue Mar 24 09:50:46 UTC 2026","Tue Mar 24 09:50:49 UTC 2026","2311","","tests.InventoryTest","","tests.InventoryTest","testLogoutViaSidebar","testLogoutViaSidebar()","Verify logging out from sidebar menu"
"passed","Tue Mar 24 09:51:01 UTC 2026","Tue Mar 24 09:51:03 UTC 2026","1749","","tests.CartTest","","tests.CartTest","testContinueShoppingNavigation","testContinueShoppingNavigation()","Verify 'Continue Shopping' navigates back to inventory page"
"passed","Tue Mar 24 09:50:56 UTC 2026","Tue Mar 24 09:50:59 UTC 2026","2294","","tests.CartTest","","tests.CartTest","testCartContainsAddedItems","testCartContainsAddedItems()","Verify cart contains items added from inventory"
"passed","Tue Mar 24 09:51:25 UTC 2026","Tue Mar 24 09:51:29 UTC 2026","3201","","tests.SwagLabsTest","","tests.SwagLabsTest","testLoginCartCheckoutFlow","testLoginCartCheckoutFlow()","Verify user can login, add items to cart, and complete checkout"
"passed","Tue Mar 24 09:51:15 UTC 2026","Tue Mar 24 09:51:18 UTC 2026","2635","","tests.CheckoutTest","","tests.CheckoutTest","testCheckoutInformationValidation","testCheckoutInformationValidation(String, String, String, String) [1] , Ocean, 12345, First Name is required","Verify checkout validation errors for missing or invalid information"
"passed","Tue Mar 24 09:50:49 UTC 2026","Tue Mar 24 09:50:50 UTC 2026","1590","","tests.LoginTest","","tests.LoginTest","testValidLogin","testValidLogin()","Verify valid user can login successfully"
"passed","Tue Mar 24 09:50:44 UTC 2026","Tue Mar 24 09:50:46 UTC 2026","1831","","tests.InventoryTest","","tests.InventoryTest","testRemoveFromCartClearsBadge","testRemoveFromCartClearsBadge()","Verify adding and then removing an item clears cart badge"
"passed","Tue Mar 24 09:51:12 UTC 2026","Tue Mar 24 09:51:15 UTC 2026","3289","","tests.CheckoutTest","","tests.CheckoutTest","testBackToProductsNavigation","testBackToProductsNavigation()","Verify Back to Products button goes safely to inventory"
"passed","Tue Mar 24 09:51:23 UTC 2026","Tue Mar 24 09:51:25 UTC 2026","2330","","tests.CheckoutTest","","tests.CheckoutTest","testCancelCheckoutStepOne","testCancelCheckoutStepOne()","Verify cancelling on checkout step one navigates back to cart"
"passed","Tue Mar 24 09:51:20 UTC 2026","Tue Mar 24 09:51:23 UTC 2026","2606","","tests.CheckoutTest","","tests.CheckoutTest","testCheckoutInformationValidation","testCheckoutInformationValidation(String, String, String, String) [3] Frank, Ocean, , Postal Code is required","Verify checkout validation errors for missing or invalid information"
"passed","Tue Mar 24 09:51:09 UTC 2026","Tue Mar 24 09:51:12 UTC 2026","2722","","tests.CheckoutTest","","tests.CheckoutTest","testValidCheckoutStepOne","testValidCheckoutStepOne()","Verify filling out checkout step one correctly navigates to step two"
"passed","Tue Mar 24 09:50:50 UTC 2026","Tue Mar 24 09:50:51 UTC 2026","1271","","tests.LoginTest","","tests.LoginTest","testInvalidLoginScenarios","testInvalidLoginScenarios(String, String, String) [1] invalid_user, wrong_password, Username and password do not match any user in this service","Verify various invalid login scenarios show correct error messages"
"passed","Tue Mar 24 09:51:03 UTC 2026","Tue Mar 24 09:51:06 UTC 2026","2926","","tests.CheckoutTest","","tests.CheckoutTest","testFinishCheckoutFlow","testFinishCheckoutFlow()","Verify completing the purchase redirects to checkout complete page with thank you message"
"passed","Tue Mar 24 09:51:06 UTC 2026","Tue Mar 24 09:51:09 UTC 2026","3122","","tests.CheckoutTest","","tests.CheckoutTest","testCheckoutStepTwoSummary","testCheckoutStepTwoSummary()","Verify summary subtotal on checkout step two matches the item values"
"passed","Tue Mar 24 09:50:43 UTC 2026","Tue Mar 24 09:50:44 UTC 2026","1629","","tests.InventoryTest","","tests.InventoryTest","testAddToCartUpdatesBadge","testAddToCartUpdatesBadge()","Verify adding an item updates cart badge to 1"
"passed","Tue Mar 24 09:51:18 UTC 2026","Tue Mar 24 09:51:20 UTC 2026","2689","","tests.CheckoutTest","","tests.CheckoutTest","testCheckoutInformationValidation","testCheckoutInformationValidation(String, String, String, String) [2] Frank, , 12345, Last Name is required","Verify checkout validation errors for missing or invalid information"
